,12_1,12_2,13_1,13_3,14_1,14_4,15_1,15_5,23_2,23_3,24_2,24_4,25_2,25_5,34_3,34_4,35_3,35_5,45_4,45_5
227,1415,1051.0,1415,434.0,811.0,,,,104,1536.0,1536.0,,,,1530.0,,,,,
228,1418,672.0,1418,706.0,2123.0,,,,109,1466.0,705.0,,,,1314.0,,,,,
229,1427,1805.0,1427,1539.0,1973.0,,,,112,711.0,1236.0,,,,2002.0,,,,,
230,1430,1612.0,1430,769.0,1136.0,,,,115,1525.0,1254.0,,,,1344.0,,,,,
231,1439,1475.0,1439,1828.0,123.0,,,,117,65.0,222.0,,,,1846.0,,,,,
232,1442,458.0,1442,321.0,401.0,,,,127,422.0,2061.0,,,,435.0,,,,,
233,1443,496.0,1443,1754.0,1361.0,,,,132,1513.0,986.0,,,,1424.0,,,,,
234,1445,1880.0,1445,599.0,1825.0,,,,149,402.0,2120.0,,,,1345.0,,,,,
235,1446,728.0,1446,406.0,,,,,150,236.0,1018.0,,,,2125.0,,,,,
236,1450,957.0,1450,1538.0,,,,,151,563.0,,,,,,,,,,
237,1455,1394.0,1455,674.0,,,,,153,1003.0,,,,,,,,,,
238,1468,1719.0,1468,1323.0,,,,,161,250.0,,,,,,,,,,
239,1474,110.0,1474,46.0,,,,,163,724.0,,,,,,,,,,
240,1480,1299.0,1480,1121.0,,,,,164,2100.0,,,,,,,,,,
241,1489,804.0,1489,1782.0,,,,,171,1357.0,,,,,,,,,,
242,1492,711.0,1492,1411.0,,,,,177,2138.0,,,,,,,,,,
243,1497,1348.0,1497,498.0,,,,,180,363.0,,,,,,,,,,
244,1499,1235.0,1499,715.0,,,,,189,533.0,,,,,,,,,,
245,1509,156.0,1509,1854.0,,,,,192,2051.0,,,,,,,,,,
246,1514,1894.0,1514,2108.0,,,,,200,56.0,,,,,,,,,,
247,1519,1594.0,1519,1550.0,,,,,202,813.0,,,,,,,,,,
248,1523,513.0,1523,1206.0,,,,,204,2113.0,,,,,,,,,,
249,1524,915.0,1524,1405.0,,,,,210,1603.0,,,,,,,,,,
250,1526,519.0,1526,623.0,,,,,213,1457.0,,,,,,,,,,
